id,student_id,assignment_id,submission_date,grade,status,created_at,group_name
1,std_001,asn_001,2024-05-14 10:30:00+00,85,graded,2025-07-23 08:35:43.562585+00,
2,std_001,asn_004,2024-05-21 11:45:00+00,87,graded,2025-07-23 08:35:43.562585+00,
3,std_001,asn_005,2024-05-16 12:30:00+00,89,graded,2025-07-23 08:35:43.562585+00,
4,std_001,asn_008,2024-11-17 12:15:00+00,88,graded,2025-07-23 08:35:43.562585+00,
5,std_001,asn_010,2024-11-21 10:45:00+00,91,graded,2025-07-23 08:35:43.562585+00,
6,std_001,asn_011,2024-11-16 11:30:00+00,86,graded,2025-07-23 08:35:43.562585+00,
7,std_001,asn_002,2024-05-19 08:30:00+00,88,graded,2025-07-23 08:35:43.562585+00,Team Pixels
8,std_002,asn_002,2024-05-19 08:30:00+00,88,graded,2025-07-23 08:35:43.562585+00,Team Pixels
9,std_009,asn_002,2024-05-19 08:30:00+00,88,graded,2025-07-23 08:35:43.562585+00,Team Pixels
10,std_012,asn_002,2024-05-19 08:30:00+00,88,graded,2025-07-23 08:35:43.562585+00,Team Pixels
11,std_001,asn_003,2024-05-17 11:45:00+00,91,graded,2025-07-23 08:35:43.562585+00,The Visionaries
12,std_003,asn_003,2024-05-17 11:45:00+00,91,graded,2025-07-23 08:35:43.562585+00,The Visionaries
13,std_006,asn_003,2024-05-17 11:45:00+00,91,graded,2025-07-23 08:35:43.562585+00,The Visionaries
14,std_015,asn_003,2024-05-17 11:45:00+00,91,graded,2025-07-23 08:35:43.562585+00,The Visionaries
15,std_001,asn_006,2024-05-24 10:45:00+00,87,graded,2025-07-23 08:35:43.562585+00,Brand Builders
16,std_004,asn_006,2024-05-24 10:45:00+00,87,graded,2025-07-23 08:35:43.562585+00,Brand Builders
17,std_011,asn_006,2024-05-24 10:45:00+00,87,graded,2025-07-23 08:35:43.562585+00,Brand Builders
18,std_014,asn_006,2024-05-24 10:45:00+00,87,graded,2025-07-23 08:35:43.562585+00,Brand Builders
19,std_001,asn_007,2024-11-14 09:20:00+00,92,graded,2025-07-23 08:35:43.562585+00,Design Fusion
20,std_002,asn_007,2024-11-14 09:20:00+00,92,graded,2025-07-23 08:35:43.562585+00,Design Fusion
21,std_006,asn_007,2024-11-14 09:20:00+00,92,graded,2025-07-23 08:35:43.562585+00,Design Fusion
22,std_012,asn_007,2024-11-14 09:20:00+00,92,graded,2025-07-23 08:35:43.562585+00,Design Fusion
23,std_001,asn_009,2024-11-19 10:45:00+00,89,graded,2025-07-23 08:35:43.562585+00,Creative Minds
24,std_003,asn_009,2024-11-19 10:45:00+00,89,graded,2025-07-23 08:35:43.562585+00,Creative Minds
25,std_009,asn_009,2024-11-19 10:45:00+00,89,graded,2025-07-23 08:35:43.562585+00,Creative Minds
26,std_013,asn_009,2024-11-19 10:45:00+00,89,graded,2025-07-23 08:35:43.562585+00,Creative Minds
27,std_001,asn_012,2024-11-24 08:30:00+00,85,graded,2025-07-23 08:35:43.562585+00,Team Alpha
28,std_004,asn_012,2024-11-24 08:30:00+00,85,graded,2025-07-23 08:35:43.562585+00,Team Alpha
29,std_015,asn_012,2024-11-24 08:30:00+00,85,graded,2025-07-23 08:35:43.562585+00,Team Alpha
30,std_014,asn_012,2024-11-24 08:30:00+00,85,graded,2025-07-23 08:35:43.562585+00,Team Alpha
31,std_001,asn_014,2025-05-17 11:30:00+00,90,graded,2025-07-23 08:41:09.43417+00,
32,std_001,asn_016,2025-05-21 10:15:00+00,93,graded,2025-07-23 08:41:09.43417+00,
33,std_001,asn_018,2025-05-24 12:45:00+00,88,graded,2025-07-23 08:41:09.43417+00,
34,std_001,asn_019,2025-11-10 08:45:00+00,,submitted,2025-07-23 08:41:09.43417+00,
35,std_001,asn_022,,,ongoing,2025-07-23 08:41:09.43417+00,
36,std_001,asn_024,,,ongoing,2025-07-23 08:41:09.43417+00,
37,std_001,asn_013,2025-05-14 09:30:00+00,94,graded,2025-07-23 08:41:09.43417+00,Team JAWS
38,std_002,asn_013,2025-05-14 09:30:00+00,94,graded,2025-07-23 08:41:09.43417+00,Team JAWS
39,std_006,asn_013,2025-05-14 09:30:00+00,94,graded,2025-07-23 08:41:09.43417+00,Team JAWS
40,std_012,asn_013,2025-05-14 09:30:00+00,94,graded,2025-07-23 08:41:09.43417+00,Team JAWS
41,std_001,asn_015,2025-05-19 10:20:00+00,91,graded,2025-07-23 08:41:09.43417+00,UX Collective
42,std_003,asn_015,2025-05-19 10:20:00+00,91,graded,2025-07-23 08:41:09.43417+00,UX Collective
43,std_009,asn_015,2025-05-19 10:20:00+00,91,graded,2025-07-23 08:41:09.43417+00,UX Collective
44,std_015,asn_015,2025-05-19 10:20:00+00,91,graded,2025-07-23 08:41:09.43417+00,UX Collective
45,std_001,asn_020,2025-11-12 06:30:00+00,,submitted,2025-07-23 08:41:09.43417+00,Team JAWS
46,std_002,asn_020,2025-11-12 06:30:00+00,,submitted,2025-07-23 08:41:09.43417+00,Team JAWS
47,std_006,asn_020,2025-11-12 06:30:00+00,,submitted,2025-07-23 08:41:09.43417+00,Team JAWS
48,std_012,asn_020,2025-11-12 06:30:00+00,,submitted,2025-07-23 08:41:09.43417+00,Team JAWS
49,std_001,asn_023,,,ongoing,2025-07-23 08:41:09.43417+00,Design Lab
50,std_004,asn_023,,,ongoing,2025-07-23 08:41:09.43417+00,Design Lab
51,std_013,asn_023,,,ongoing,2025-07-23 08:41:09.43417+00,Design Lab
52,std_014,asn_023,,,ongoing,2025-07-23 08:41:09.43417+00,Design Lab
53,std_001,asn_021,,,ongoing,2025-07-23 08:41:09.43417+00,Team JAWS
54,std_002,asn_021,,,ongoing,2025-07-23 08:41:09.43417+00,Team JAWS
55,std_006,asn_021,,,ongoing,2025-07-23 08:41:09.43417+00,Team JAWS
56,std_012,asn_021,,,ongoing,2025-07-23 08:41:09.43417+00,Team JAWS
