task_id,student_id,assignment_id,task_title,description,start_date,due_date,finished_date,status,priority,created_at,is_milestone
tsk_001,std_001,asn_019,Research Problem Definition,Define the core UX problem and research objectives,2025-07-15 01:00:00+00,2025-07-22 15:59:00+00,2025-07-21 08:30:00+00,completed,high,2025-07-23 09:00:33.282465+00,false
tsk_002,std_001,asn_019,User Interview Planning,Create interview guide and recruit participants,2025-07-22 01:00:00+00,2025-07-29 15:59:00+00,2025-07-28 06:45:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_003,std_001,asn_019,Check-in with Lecturer (Round 1),Present research plan and get feedback on approach,2025-07-30 06:00:00+00,2025-07-30 07:00:00+00,2025-07-30 06:45:00+00,completed,high,2025-07-23 09:00:33.282465+00,true
tsk_004,std_001,asn_019,Conduct User Interviews,Interview 6 target users about their pain points,2025-08-01 01:00:00+00,2025-08-10 15:59:00+00,2025-08-09 10:20:00+00,completed,high,2025-07-23 09:00:33.282465+00,false
tsk_005,std_001,asn_019,Synthesize Research Findings,Affinity mapping and persona development,2025-08-10 01:00:00+00,2025-08-20 15:59:00+00,2025-08-19 09:30:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_006,std_001,asn_019,Journey Mapping Workshop,Map current state user journey and identify opportunities,2025-08-20 01:00:00+00,2025-08-27 15:59:00+00,2025-08-26 11:45:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_007,std_001,asn_019,Check-in with Lecturer (Round 2),Present research insights and proposed solutions,2025-08-28 02:00:00+00,2025-08-28 03:00:00+00,2025-08-28 02:30:00+00,completed,high,2025-07-23 09:00:33.282465+00,true
tsk_008,std_001,asn_019,Solution Ideation & Sketching,Generate and sketch potential design solutions,2025-08-29 01:00:00+00,2025-09-05 15:59:00+00,2025-09-04 08:00:00+00,completed,medium,2025-07-23 09:00:33.282465+00,false
tsk_009,std_001,asn_019,Prototype Development,Build interactive prototype in Figma,2025-09-06 01:00:00+00,2025-09-20 15:59:00+00,2025-09-19 10:15:00+00,completed,high,2025-07-23 09:00:33.282465+00,false
tsk_010,std_001,asn_019,Usability Testing Sessions,Test prototype with 5 users and gather feedback,2025-09-21 01:00:00+00,2025-10-05 15:59:00+00,2025-10-04 09:45:00+00,completed,high,2025-07-23 09:00:33.282465+00,false
tsk_011,std_001,asn_019,Check-in with Lecturer (Round 3),Present prototype and testing results for feedback,2025-10-07 06:00:00+00,2025-10-07 07:00:00+00,2025-10-07 06:30:00+00,completed,high,2025-07-23 09:00:33.282465+00,true
